Unit,Module,Sentences
_u2_summarizing_data,x-oli-workbook_page,"r is unitless, influenced by outliers, and should be used only as a supplement to the scatterplot."
_u2_summarizing_data,x-oli-workbook_page,"When the relationship is linear (as displayed by the scatterplot, and supported by the correlation r), we can summarize the linear pattern using the least squares regression line."
_u2_summarizing_data,x-oli-workbook_page,Remember that: The slope of the regression line tells us the average change in the response variable that results from a 1-unit increase in the explanatory variable.
_u2_summarizing_data,x-oli-workbook_page,"When using the regression line for predictions, you should beware of extrapolation."
_u2_summarizing_data,x-oli-workbook_page," The algebra of a line A line is described by a set of points (X,Y) that obey a particular relationship between X and Y ."
_u2_summarizing_data,x-oli-workbook_page,"That relationship is called the equation of the line, which we will express in the following form: a and b are constants that can be either negative or positive."
_u2_summarizing_data,x-oli-workbook_page,"The reason to write the line in this form is that the constants a and b tell us what the line looks like, as follows: The intercept (a) is the value that Y takes when X = 0 The slope (b) is the change in Y for every increase of 1 unit in X ."
_u2_summarizing_data,x-oli-workbook_page,"The slope and intercept are indicated with arrows on the following diagram: Note that if either the intercept (a) or the slope (b) is negative, the corresponding blue arrow on the diagram above would point downward."
_u2_summarizing_data,x-oli-workbook_page,1 Consider the line 2 Consider the line This interactive activity allows you to see how changing the values of the slope and intercept changes the line.
_u2_summarizing_data,x-oli-workbook_page,Use the left scrollbar to slide the line up and down to change the intercept .
_u2_summarizing_data,x-oli-workbook_page," A line is described by a set of points (X,Y) that obey a particular relationship between X and Y ."
_u2_summarizing_data,x-oli-workbook_page,"That relationship is called the equation of the line, which we will express in the following form: a and b are constants that can be either negative or positive."
_u2_summarizing_data,x-oli-workbook_page,"The reason to write the line in this form is that the constants a and b tell us what the line looks like, as follows: The intercept (a) is the value that Y takes when X = 0 The slope (b) is the change in Y for every increase of 1 unit in X ."
_u2_summarizing_data,x-oli-workbook_page,"The slope and intercept are indicated with arrows on the following diagram: Note that if either the intercept (a) or the slope (b) is negative, the corresponding blue arrow on the diagram above would point downward."
_u2_summarizing_data,x-oli-workbook_page,1 Consider the line 2 Consider the line This interactive activity allows you to see how changing the values of the slope and intercept changes the line.
_u2_summarizing_data,x-oli-workbook_page,Use the left scrollbar to slide the line up and down to change the intercept .
_u2_summarizing_data,x-oli-workbook_page, How to Recode a Categorical Variable in a Data Set StatCrunch Instructions Often it is easier to use labels for categorical variables that are as close as possible to the meanings of the categories.
_u2_summarizing_data,x-oli-workbook_page,"Now we will recode the variable gender with the labels ""Male"" and ""Female."""
_u2_summarizing_data,x-oli-workbook_page,"To do this in StatCrunch: Choose Data → Transform data → This will bring up the Transform data window.In the Expression input field enter: ifelse(Gender = 1,Female,Male) then press Notice that a new column is created at the right with the desired recoding."
_u2_summarizing_data,x-oli-workbook_page,"Finally, we will want to delete the original Gender column and give this name to the new column.To delete the original Gender column: Choose Edit → Columns → Delete In the Columns Delete Window, Select To rename the new column click on the current name and press the Delete key."
_u2_summarizing_data,x-oli-workbook_page,Then type in the new names R Instructions Often it is easier to use labels for categorical variables that are as close as possible to the meanings of the categories.
_u2_summarizing_data,x-oli-workbook_page,"If you don't still have the depression file open, here it is again, right-click here and choose ""Save Target As"" to download the file to your computer."
_u2_summarizing_data,x-oli-workbook_page,"Then find the downloaded file and double-click it to open it in R.Now we will recode the variable gender with the labels ""Male"" and ""Female."""
_u2_summarizing_data,x-oli-workbook_page,"Copy the following commands into R, one at a time or all at once."
_u2_summarizing_data,x-oli-workbook_page,"depression$Gender = replace(depression$Gender,depression$Gender==1,'Female'); depression$Gender = replace(depression$Gender,depression$Gender==2,'Male'); depression$Gender Remember, you may have to press <Enter> to execute the command."
_u2_summarizing_data,x-oli-workbook_page,"Note: Using R - To learn more about any command names you see in these notes, enter help(commandname) or ?commandname into R or check out the resources listed under the Help menu."
_u2_summarizing_data,x-oli-workbook_page,Here is an example: Minitab Instructions Often it is easier to use labels for categorical variables that are as close as possible to the meanings of the categories.
_u2_summarizing_data,x-oli-workbook_page,"Now we will recode the variable gender with the labels ""Male"" and ""Female."""
_u2_summarizing_data,x-oli-workbook_page,To do that in Minitab: Choose Data → Code → Numeric to text...
_u2_summarizing_data,x-oli-workbook_page,This will bring up the Code—Numeric to Text dialog box.
_u2_summarizing_data,x-oli-workbook_page,"To fill in ""Code data from columns"": Double click on the variable you wish to recode in the left panel."
_u2_summarizing_data,x-oli-workbook_page,We will choose Gender.
_u2_summarizing_data,x-oli-workbook_page,"To fill in ""Store coded data in columns"": Double click on the column in which you wish to place the recoded variable."
_u2_summarizing_data,x-oli-workbook_page,"We will choose Gender again, to replace the existing variable."
_u2_summarizing_data,x-oli-workbook_page,"To fill in ""Original values"" and ""New"": Enter 1 and ""Female"" in the first row of boxes Enter 2 and ""Male"" in the second row of boxes Click OK. Notice that the column Gender now contains the meaningful labels ""Female"" and ""Male"" where before it contained ""1"" and ""2"" codes."
_u2_summarizing_data,x-oli-workbook_page,Excel 2007 Instructions Often it is easier to use labels for categorical variables that are as close as possible to the meanings of the categories.
_u2_summarizing_data,x-oli-workbook_page,"Now we will recode the variable gender with the labels ""Male"" and ""Female."""
_u2_summarizing_data,x-oli-workbook_page,To do that in Excel: Click on the column header above the Gender column.
_u2_summarizing_data,x-oli-workbook_page,"In this case, Gender is in column G, so click on the column header labeled G. This will select the entire column of gender values.Choose Find & Select → Replace from the Editing group in the Home tab to bring up the Find and Replace window.In the first textbox labeled Find what:, enter ""1"".In the second textbox labeled Replace with, enter ""Female"".Now click the button labeled Replace All."
_u2_summarizing_data,x-oli-workbook_page,"This will replace all of the ""1"" values in our selected column with the word ""Female"".Now do the same thing for males: In the first textbox labeled Find what:, enter ""2"".In the second textbox labeled Replace with, enter ""Male""Click the Replace All button, and then click the Close button.Notice that the column Gender now contains the meaningful labels ""Female"" and ""Male"" where before it contained ""1"" and ""2"" codes."
_u2_summarizing_data,x-oli-workbook_page,Excel 2003 Instructions Often it is easier to use labels for categorical variables that are as close as possible to the meanings of the categories.
_u2_summarizing_data,x-oli-workbook_page,"Now we will recode the variable gender with the labels ""Male"" and ""Female."""
_u2_summarizing_data,x-oli-workbook_page,To do that in Excel: Click on the column header above the Gender column.
_u2_summarizing_data,x-oli-workbook_page,"In this case, Gender is in column G, so click on the column header labeled G. This will select the entire column of gender values.Choose Edit → Replace from the menu bar to bring up the Find and Replace window.In the first textbox labeled Find what:, enter ""1"".In the second textbox labeled Replace with, enter ""Female"".Now click the button labeled Replace All."
_u2_summarizing_data,x-oli-workbook_page,"This will replace all of the ""1"" values in our selected column with the word ""Female"".Now do the same thing for males: In the first textbox labeled Find what:, enter ""2"".In the second textbox labeled Replace with, enter ""Male""Click the Replace All button, and then click the Close button.Notice that the column Gender now contains the meaningful labels ""Female"" and ""Male"" where before it contained ""1"" and ""2"" codes."
_u2_summarizing_data,x-oli-workbook_page,TI Instructions Often it is easier to use labels for categorical variables that are as close as possible to the meanings of the categories.
_u2_summarizing_data,x-oli-workbook_page,"However, the TI can only handle categorical data with each category represented by a number."
_u2_summarizing_data,x-oli-workbook_page,Look at the data in row 1 for L1-L6 and GEND.
_u2_summarizing_data,x-oli-workbook_page,Interpret what this data represents for the first individual (row 1 in each list).
_u2_summarizing_data,x-oli-workbook_page,"Then check your answers in this table: Note: Under L4, in the first row you probably see 36.143."
_u2_summarizing_data,x-oli-workbook_page,"In order to see all the decimal places, highlight the 36.143, then look at the bottom of the screen."
_u2_summarizing_data,x-oli-workbook_page, StatCrunch Instructions Often it is easier to use labels for categorical variables that are as close as possible to the meanings of the categories.
_u2_summarizing_data,x-oli-workbook_page,"Now we will recode the variable gender with the labels ""Male"" and ""Female."""
_u2_summarizing_data,x-oli-workbook_page,"To do this in StatCrunch: Choose Data → Transform data → This will bring up the Transform data window.In the Expression input field enter: ifelse(Gender = 1,Female,Male) then press Notice that a new column is created at the right with the desired recoding."
_u2_summarizing_data,x-oli-workbook_page,"Finally, we will want to delete the original Gender column and give this name to the new column.To delete the original Gender column: Choose Edit → Columns → Delete In the Columns Delete Window, Select To rename the new column click on the current name and press the Delete key."
_u2_summarizing_data,x-oli-workbook_page,Then type in the new names R Instructions Often it is easier to use labels for categorical variables that are as close as possible to the meanings of the categories.
_u2_summarizing_data,x-oli-workbook_page,"If you don't still have the depression file open, here it is again, right-click here and choose ""Save Target As"" to download the file to your computer."
_u2_summarizing_data,x-oli-workbook_page,"Then find the downloaded file and double-click it to open it in R.Now we will recode the variable gender with the labels ""Male"" and ""Female."""
_u2_summarizing_data,x-oli-workbook_page,"Copy the following commands into R, one at a time or all at once."
_u2_summarizing_data,x-oli-workbook_page,"depression$Gender = replace(depression$Gender,depression$Gender==1,'Female'); depression$Gender = replace(depression$Gender,depression$Gender==2,'Male'); depression$Gender Remember, you may have to press <Enter> to execute the command."
_u2_summarizing_data,x-oli-workbook_page,"Note: Using R - To learn more about any command names you see in these notes, enter help(commandname) or ?commandname into R or check out the resources listed under the Help menu."
_u2_summarizing_data,x-oli-workbook_page,Here is an example: Minitab Instructions Often it is easier to use labels for categorical variables that are as close as possible to the meanings of the categories.
_u2_summarizing_data,x-oli-workbook_page,"Now we will recode the variable gender with the labels ""Male"" and ""Female."""
_u2_summarizing_data,x-oli-workbook_page,To do that in Minitab: Choose Data → Code → Numeric to text...
_u2_summarizing_data,x-oli-workbook_page,This will bring up the Code—Numeric to Text dialog box.
_u2_summarizing_data,x-oli-workbook_page,"To fill in ""Code data from columns"": Double click on the variable you wish to recode in the left panel."
_u2_summarizing_data,x-oli-workbook_page,We will choose Gender.
_u2_summarizing_data,x-oli-workbook_page,"To fill in ""Store coded data in columns"": Double click on the column in which you wish to place the recoded variable."
_u2_summarizing_data,x-oli-workbook_page,"We will choose Gender again, to replace the existing variable."
_u2_summarizing_data,x-oli-workbook_page,"To fill in ""Original values"" and ""New"": Enter 1 and ""Female"" in the first row of boxes Enter 2 and ""Male"" in the second row of boxes Click OK. Notice that the column Gender now contains the meaningful labels ""Female"" and ""Male"" where before it contained ""1"" and ""2"" codes."
_u2_summarizing_data,x-oli-workbook_page,Excel 2007 Instructions Often it is easier to use labels for categorical variables that are as close as possible to the meanings of the categories.
_u2_summarizing_data,x-oli-workbook_page,"Now we will recode the variable gender with the labels ""Male"" and ""Female."""
_u2_summarizing_data,x-oli-workbook_page,To do that in Excel: Click on the column header above the Gender column.
_u2_summarizing_data,x-oli-workbook_page,"In this case, Gender is in column G, so click on the column header labeled G. This will select the entire column of gender values.Choose Find & Select → Replace from the Editing group in the Home tab to bring up the Find and Replace window.In the first textbox labeled Find what:, enter ""1"".In the second textbox labeled Replace with, enter ""Female"".Now click the button labeled Replace All."
_u2_summarizing_data,x-oli-workbook_page,"This will replace all of the ""1"" values in our selected column with the word ""Female"".Now do the same thing for males: In the first textbox labeled Find what:, enter ""2"".In the second textbox labeled Replace with, enter ""Male""Click the Replace All button, and then click the Close button.Notice that the column Gender now contains the meaningful labels ""Female"" and ""Male"" where before it contained ""1"" and ""2"" codes."
_u2_summarizing_data,x-oli-workbook_page,Excel 2003 Instructions Often it is easier to use labels for categorical variables that are as close as possible to the meanings of the categories.
_u2_summarizing_data,x-oli-workbook_page,"Now we will recode the variable gender with the labels ""Male"" and ""Female."""
_u2_summarizing_data,x-oli-workbook_page,To do that in Excel: Click on the column header above the Gender column.
_u2_summarizing_data,x-oli-workbook_page,"In this case, Gender is in column G, so click on the column header labeled G. This will select the entire column of gender values.Choose Edit → Replace from the menu bar to bring up the Find and Replace window.In the first textbox labeled Find what:, enter ""1"".In the second textbox labeled Replace with, enter ""Female"".Now click the button labeled Replace All."
_u2_summarizing_data,x-oli-workbook_page,"This will replace all of the ""1"" values in our selected column with the word ""Female"".Now do the same thing for males: In the first textbox labeled Find what:, enter ""2"".In the second textbox labeled Replace with, enter ""Male""Click the Replace All button, and then click the Close button.Notice that the column Gender now contains the meaningful labels ""Female"" and ""Male"" where before it contained ""1"" and ""2"" codes."
_u2_summarizing_data,x-oli-workbook_page,TI Instructions Often it is easier to use labels for categorical variables that are as close as possible to the meanings of the categories.
_u2_summarizing_data,x-oli-workbook_page,"However, the TI can only handle categorical data with each category represented by a number."
_u2_summarizing_data,x-oli-workbook_page,Look at the data in row 1 for L1-L6 and GEND.
_u2_summarizing_data,x-oli-workbook_page,Interpret what this data represents for the first individual (row 1 in each list).
_u2_summarizing_data,x-oli-workbook_page,"Then check your answers in this table: Note: Under L4, in the first row you probably see 36.143."
_u2_summarizing_data,x-oli-workbook_page,"In order to see all the decimal places, highlight the 36.143, then look at the bottom of the screen."
_u2_summarizing_data,x-oli-workbook_page, Connecting the TI Calculator to your computer Download and install TI CONNECT (or TI software of your choice).Plug the USB or Serial cable into the computer as well as your calculator.
_u2_summarizing_data,x-oli-workbook_page,Start the TI Connect application.
_u2_summarizing_data,x-oli-workbook_page,"Click on the DeviceExplorer icon, found on the TI Connect page."
_u2_summarizing_data,x-oli-workbook_page,TI Connect will search for the calculator.
_u2_summarizing_data,x-oli-workbook_page,"Once it is found, it will be displayed on DeviceExplorer screen with a small calculator icon and the name of the calculator (e.x., TI-84 Plus Silver Edition)."
_u2_summarizing_data,x-oli-workbook_page,Click on the icon once to select it.
_u2_summarizing_data,x-oli-workbook_page,Double click on the icon to display all of the information on the calculator.
_u2_summarizing_data,x-oli-workbook_page,We are particularly interested in the lists.
_u2_summarizing_data,x-oli-workbook_page,Transferring a file from your computer to your TI Calculator Make sure that your TI calculator is connected to your computer and is displayed in the DeviceExplorer screen.
_u2_summarizing_data,x-oli-workbook_page,Drag and drop the .8xl or .8xg file from your computer onto the name of the connected TI (ex.
_u2_summarizing_data,x-oli-workbook_page,TI 84-Plus Silver Edition) in the TI DeviceExplorer.
_u2_summarizing_data,x-oli-workbook_page,"You may get a message box that says, for example: ""An item named “L₁” already exists in TI."
_u2_summarizing_data,x-oli-workbook_page,"Do you want to replace it with the one you are sending?"""
_u2_summarizing_data,x-oli-workbook_page,"Just choose ""Replace"" or ""Replace All."""
_u2_summarizing_data,x-oli-workbook_page,"Creating a new list In order to see non-built-in lists in the table, you have to add them."
_u2_summarizing_data,x-oli-workbook_page,"To do so: Choose Use the up arrow and the right arrow keys to position the cursor on the name of the last list in the table (in most cases, this will be L6)."
_u2_summarizing_data,x-oli-workbook_page,Now press the right arrow key once.
_u2_summarizing_data,x-oli-workbook_page,This will create a new list.
_u2_summarizing_data,x-oli-workbook_page, Download and install TI CONNECT (or TI software of your choice).Plug the USB or Serial cable into the computer as well as your calculator.
_u2_summarizing_data,x-oli-workbook_page,Start the TI Connect application.
_u2_summarizing_data,x-oli-workbook_page,"Click on the DeviceExplorer icon, found on the TI Connect page."
_u2_summarizing_data,x-oli-workbook_page,TI Connect will search for the calculator.
_u2_summarizing_data,x-oli-workbook_page,"Once it is found, it will be displayed on DeviceExplorer screen with a small calculator icon and the name of the calculator (e.x., TI-84 Plus Silver Edition)."
_u2_summarizing_data,x-oli-workbook_page,Click on the icon once to select it.
_u2_summarizing_data,x-oli-workbook_page,Double click on the icon to display all of the information on the calculator.
_u2_summarizing_data,x-oli-workbook_page, Make sure that your TI calculator is connected to your computer and is displayed in the DeviceExplorer screen.
_u2_summarizing_data,x-oli-workbook_page,Drag and drop the .8xl or .8xg file from your computer onto the name of the connected TI (ex.
_u2_summarizing_data,x-oli-workbook_page,TI 84-Plus Silver Edition) in the TI DeviceExplorer.
_u2_summarizing_data,x-oli-workbook_page,"You may get a message box that says, for example: ""An item named “L₁” already exists in TI."
_u2_summarizing_data,x-oli-workbook_page,"Do you want to replace it with the one you are sending?"""
_u2_summarizing_data,x-oli-workbook_page,"In order to see non-built-in lists in the table, you have to add them."
_u2_summarizing_data,x-oli-workbook_page,"To do so: Choose Use the up arrow and the right arrow keys to position the cursor on the name of the last list in the table (in most cases, this will be L6)."
_u2_summarizing_data,x-oli-workbook_page,Now press the right arrow key once.
_u2_summarizing_data,x-oli-workbook_page,This will create a new list.
_u3_producing_data,_m1_sampling,"As mentioned in the introduction to this section, we will begin with the first stage of data production—sampling."
_u3_producing_data,_m1_sampling,"Our discussion will be framed around the following examples: #1 Suppose you want to determine the musical preferences of all students at your university, based on a sample of students."
_u3_producing_data,_m1_sampling,Here are some examples of the many possible ways to pursue this problem.
_u3_producing_data,_m1_sampling,"Post a music-lovers' survey on a university IInternet bulletin board, asking students to vote for their favorite type of music."
_u3_producing_data,_m1_sampling,"This is an example of a volunteer sample, where individuals have selected themselves to be included."
_u3_producing_data,_m1_sampling,Such a sample is almost guaranteed to be biased.
_u3_producing_data,_m1_sampling,"In general, volunteer samples tend to be comprised of individuals who have a particularly strong opinion about an issue, and are looking for an opportunity to voice it."
_u3_producing_data,_m1_sampling,"Whether the variable's values obtained from such a sample are over- or under-stated, and to what extent, cannot be determined."
_u3_producing_data,_m1_sampling,"As a result, data obtained from a voluntary response sample is quite useless when you think about the ""Big Picture,"" since the sampled individuals only provide information about themselves, and we cannot generalize to any larger group at all."
_u3_producing_data,_m1_sampling,Comment: It should be mentioned that in some cases volunteer samples are the only ethical way to obtain a sample.
_u3_producing_data,_m1_sampling,"In medical studies, for example, in which new treatments are tested, subjects must choose to participate by signing a consent form that highlights the potential risks and benefits."
_u3_producing_data,_m1_sampling,"As we will discuss in the next module, a volunteer sample is not so problematic in a study conducted for the purpose of comparing several treatments.#2 Stand outside the Student Union, across from the Fine Arts Building, and ask students passing by to respond to your question about musical preference."
_u3_producing_data,_m1_sampling,"convenience sample, where individuals happen to be at the right time and place to suit the schedule of the researcher."
_u3_producing_data,_m1_sampling,"Depending on what variable is being studied, it may be that a convenience sample provides a fairly representative group."
_u3_producing_data,_m1_sampling,"However, there are often subtle reasons why the sample's results are biased."
_u3_producing_data,_m1_sampling,"In this case, the proximity to the Fine Arts Building might result in a disproportionate number of students favoring classical music."
_u3_producing_data,_m1_sampling,A convenience sample may also be susceptible to bias because certain types of individuals are more likely to be selected than others.
_u3_producing_data,_m1_sampling,"In the extreme, some convenience samples are designed in such a way that certain individuals have no chance at all of being selected, as in the next example.#3 Ask your professors for email rosters of all the students in your classes."
_u3_producing_data,_m1_sampling,"Randomly sample some addresses, and email those students with your question about musical preference."
_u3_producing_data,_m1_sampling,sampling frame—list of potential individuals to be sampled—does not match the population of interest.
_u3_producing_data,_m1_sampling,"The population of interest consists of all students at the university, whereas the sampling frame consists of only your classmates."
_u3_producing_data,_m1_sampling,There may be bias arising because of this discrepancy.
_u3_producing_data,_m1_sampling,"For example, students with similar majors will tend to take the same classes as you, and their musical preferences may also be somewhat different from those of the general population of students."
_u3_producing_data,_m1_sampling,It is always best to have the sampling frame match the population as closely as possible.
_u3_producing_data,_m1_sampling,"#4 Obtain a student directory with email addresses of all the university's students, and send the music poll to every 50th name on the list."
_u3_producing_data,_m1_sampling,This is called systematic sampling.
_u3_producing_data,_m1_sampling,"It may not be subject to any clear bias, but it would not be as safe as taking a random sample."
_u3_producing_data,_m1_sampling,simple random sample (SRS).
_u3_producing_data,_m1_sampling,"In contrast, a systematic sample would not allow for sibling students to be selected, because of having the same last name."
_u3_producing_data,_m1_sampling,"In a simple random sample, sibling students would have just as much of a chance of both being selected as any other pair of students."
_u3_producing_data,_m1_sampling,"Therefore, there may be subtle sources of bias in using a systematic sampling plan.#5 Obtain a student directory with email addresses of all the university's students, and send your music poll to a simple random sample of students."
_u3_producing_data,_m1_sampling,"As long as all of the students respond, then the sample is not subject to any bias, and should succeed in being representative of the population of interest."
_u3_producing_data,_m1_sampling,But what if only 40% of those selected email you back with their vote?
_u3_producing_data,_m1_sampling,"The results of this poll would not necessarily be representative of the population, because of the potential problems associated with volunteer response."
_u3_producing_data,_m1_sampling,"Since individuals are not compelled to respond, often a relatively small subset take the trouble to participate."
_u3_producing_data,_m1_sampling,"Volunteer response is not as problematic as a volunteer sample (presented in example 1 above), but there is still a danger that those who do respond are different from those who don't, with respect to the variable of interest."
_u3_producing_data,_m1_sampling,"An improvement would be to follow up with a second email, asking politely for students' cooperation."
_u3_producing_data,_m1_sampling,"This may boost the response rate, resulting in a sample that is fairly representative of the entire population of interest, and it may be the best that you can do, under the circumstances."
_u3_producing_data,_m1_sampling,In this short module we learned various techniques by which one can choose a sample of individuals from an entire population to collect data from.
_u3_producing_data,_m1_sampling,"This is seemingly a simple step in the big picture of statistics, but it turns out that it has a crucial effect on the conclusions we can draw from the sample about the entire population (i.e., inference)."
_u3_producing_data,_m1_sampling,"Generally speaking, a probability sampling plan (such as a simple random sample, cluster, or stratified sampling) will result in a nonbiased sample, which can be safely used to make inferences."
_u3_producing_data,_m1_sampling,"Moreover, the inferential procedures that we will learn later in this course assume that the sample was chosen at random."
_u3_producing_data,_m1_sampling,"That being said, other (nonrandom) sampling techniques are available, and sometimes using them is the best we can do."
_u3_producing_data,_m1_sampling,"It is important, though, when these techniques are used, to be aware of the types of bias that they introduce, and thus the limitations of the conclusions that can be drawn from the resulting samples."
_u3_producing_data,_m1_sampling,In this short module we learned various techniques by which one can choose a sample of individuals from an entire population to collect data from.
_u3_producing_data,_m1_sampling,"This is seemingly a simple step in the big picture of statistics, but it turns out that it has a crucial effect on the conclusions we can draw from the sample about the entire population (i.e., inference)."
_u3_producing_data,_m1_sampling,"Generally speaking, a probability sampling plan (such as a simple random sample, cluster, or stratified sampling) will result in a nonbiased sample, which can be safely used to make inferences."
_u3_producing_data,_m1_sampling,"Moreover, the inferential procedures that we will learn later in this course assume that the sample was chosen at random."
_u3_producing_data,_m1_sampling,"That being said, other (nonrandom) sampling techniques are available, and sometimes using them is the best we can do."
_u3_producing_data,_m2_design," Causation and Observational Studies Suppose the observational study described on the previous page were carried out, and researchers determined that the percentage succeeding with the combination drug/therapy method was highest, while the percentage succeeding with neither therapy nor drugs was lowest."
_u3_producing_data,_m2_design,"In other words, suppose there is clear evidence of an association between method used and success rate."
_u3_producing_data,_m2_design,Could they then conclude that the combination drug/therapy method causes success more than using neither therapy nor a drug?
_u3_producing_data,_m2_design,"It is at precisely this point that we confront the underlying weakness of most observational studies: some members of the sample have opted for certain values of the explanatory variable (method of quitting), while others have opted for other values."
_u3_producing_data,_m2_design,It could be that those individuals may be different in additional ways that would also play a role in the response of interest.
_u3_producing_data,_m2_design,"For instance, suppose women are more likely to choose certain methods to quit, and suppose women in general tend to quit more successfully than men."
_u3_producing_data,_m2_design,"The data would make it appear that the method itself were responsible for success, whereas in truth it may just be that being female is the reason for success."
_u3_producing_data,_m2_design,We can express this scenario in terms of the key variables involved.
_u3_producing_data,_m2_design,"In addition to the explanatory variable (method) and the response variable (success or failure), a third, lurking variable (gender) is tied in (or confounded) with the explanatory variable's values, and may itself cause the response to be success or failure."
_u3_producing_data,_m2_design,"The following diagram illustrates this situation.Since the difficulty arises because of the lurking variable's values being tied in with those of the explanatory variable, one way to attempt to unravel the true nature of the relationship between explanatory and response variables is to separate out the effects of the lurking variable."
_u3_producing_data,_m2_design,"In general, we control for the effects of a lurking variable by separately studying groups that are similar with respect to this variable."
_u3_producing_data,_m2_design,"We could control for the lurking variable ""gender"" by studying women and men separately."
_u3_producing_data,_m2_design,"Then, if both women and men who chose one method have higher success rates than those opting for another method, we would be closer to producing evidence of causation."
_u3_producing_data,_m2_design,The diagram above demonstrates how straightforward it is to control for the lurking variable gender.
_u3_producing_data,_m2_design,"Notice that we did not claim that controlling for gender would allow us to make a definite claim of causation, only that we would be closer to establishing a causal connection."
_u3_producing_data,_m2_design,"This is due to the fact that other lurking variables may also be involved, such as the level of the participants' desire to quit."
_u3_producing_data,_m2_design,"Specifically, those who have chosen to use the drug/therapy method may already be the ones who are most determined to succeed, while those who have chosen to quit without investing in drugs or therapy may, from the outset, be less committed to quitting."
_u3_producing_data,_m2_design,The following diagram illustrates this scenario.
_u3_producing_data,_m2_design,"To attempt to control for this lurking variable, we could interview the individuals at the outset in order to rate their desire to quit on a scale of 1 (weakest) to 5 (strongest), and study the relationship between method and success separately for each of the five groups."
_u3_producing_data,_m2_design,"But desire to quit is obviously a very subjective thing, difficult to assign a specific number to."
_u3_producing_data,_m2_design,"Realistically, we may be unable to effectively control for the lurking variable ""desire to quit."""
_u3_producing_data,_m2_design,"Furthermore, who's to say that gender and/or desire to quit are the only lurking variables involved?"
_u3_producing_data,_m2_design,There may be other subtle differences among individuals who choose one of the four various methods that researchers fail to imagine as they attempt to control for possible lurking variables.
_u3_producing_data,_m2_design,"For example, smokers who opt to quit using neither therapy nor drugs may tend to be in a lower income bracket than those who opt for (and can afford) drugs and/or therapy."
_u3_producing_data,_m2_design,Perhaps smokers in a lower income bracket also tend to be less successful in quitting because more of their family members and co-workers smoke.
_u3_producing_data,_m2_design,"Thus, socioeconomic status is yet another possible lurking variable in the relationship between cessation method and success rate."
_u3_producing_data,_m2_design,It is because of the existence of a virtually unlimited number of potential lurking variables that we can never be 100% certain of a claim of causation based on an observational study.
_u3_producing_data,_m2_design,"On the other hand, observational studies are an extremely common tool used by researchers to attempt to draw conclusions about causal connections."
_u3_producing_data,_m2_design,"Suppose the observational study described on the previous page were carried out, and researchers determined that the percentage succeeding with the combination drug/therapy method was highest, while the percentage succeeding with neither therapy nor drugs was lowest."
_u3_producing_data,_m2_design,"In other words, suppose there is clear evidence of an association between method used and success rate."
_u3_producing_data,_m2_design,Could they then conclude that the combination drug/therapy method causes success more than using neither therapy nor a drug?
_u3_producing_data,_m2_design,"It is at precisely this point that we confront the underlying weakness of most observational studies: some members of the sample have opted for certain values of the explanatory variable (method of quitting), while others have opted for other values."
_u3_producing_data,_m2_design,It could be that those individuals may be different in additional ways that would also play a role in the response of interest.
_u3_producing_data,_m2_design,"For instance, suppose women are more likely to choose certain methods to quit, and suppose women in general tend to quit more successfully than men."
_u3_producing_data,_m2_design,"The data would make it appear that the method itself were responsible for success, whereas in truth it may just be that being female is the reason for success."
_u3_producing_data,_m2_design,We can express this scenario in terms of the key variables involved.
_u3_producing_data,_m2_design,"In addition to the explanatory variable (method) and the response variable (success or failure), a third, lurking variable (gender) is tied in (or confounded) with the explanatory variable's values, and may itself cause the response to be success or failure."
_u3_producing_data,_m2_design,"The following diagram illustrates this situation.Since the difficulty arises because of the lurking variable's values being tied in with those of the explanatory variable, one way to attempt to unravel the true nature of the relationship between explanatory and response variables is to separate out the effects of the lurking variable."
_u3_producing_data,_m2_design,"In general, we control for the effects of a lurking variable by separately studying groups that are similar with respect to this variable."
_u3_producing_data,_m2_design,"We could control for the lurking variable ""gender"" by studying women and men separately."
_u3_producing_data,_m2_design,"Then, if both women and men who chose one method have higher success rates than those opting for another method, we would be closer to producing evidence of causation."
_u3_producing_data,_m2_design,The diagram above demonstrates how straightforward it is to control for the lurking variable gender.
_u3_producing_data,_m2_design,"Notice that we did not claim that controlling for gender would allow us to make a definite claim of causation, only that we would be closer to establishing a causal connection."
_u3_producing_data,_m2_design,"This is due to the fact that other lurking variables may also be involved, such as the level of the participants' desire to quit."
_u3_producing_data,_m2_design,"Specifically, those who have chosen to use the drug/therapy method may already be the ones who are most determined to succeed, while those who have chosen to quit without investing in drugs or therapy may, from the outset, be less committed to quitting."
_u3_producing_data,_m2_design,The following diagram illustrates this scenario.
_u3_producing_data,_m2_design,"To attempt to control for this lurking variable, we could interview the individuals at the outset in order to rate their desire to quit on a scale of 1 (weakest) to 5 (strongest), and study the relationship between method and success separately for each of the five groups."
_u3_producing_data,_m2_design,"But desire to quit is obviously a very subjective thing, difficult to assign a specific number to."
_u3_producing_data,_m2_design,"Realistically, we may be unable to effectively control for the lurking variable ""desire to quit."""
_u3_producing_data,_m2_design,"Furthermore, who's to say that gender and/or desire to quit are the only lurking variables involved?"
_u3_producing_data,_m2_design,There may be other subtle differences among individuals who choose one of the four various methods that researchers fail to imagine as they attempt to control for possible lurking variables.
