Unit,Module,Question,Choices,Correct Answer
_u2_summarizing_data,_m2_examining_relationships,A survey was conducted to study the relationship between a college student’s age and the value of the car they drive. Data were collected from a random sample of 300 students from a certain college. The values of the students’ cars were found using Kelley Blue Book.Which of the following would be a meaningful display of the data from this study?,0: 1: A pie chart 2: A histogram 3: A scatterplot 4: A two-way table 5: Side-by-side boxplots,A scatterplot,
_u2_summarizing_data,_m2_examining_relationships,In order to study whether there is a relationship between gender and age at marriage; 50 couples were randomly selected and the age of the bride and groom were recorded.Which of the following would be a meaningful display of the data from this study?,0: 1: A pie chart 2: A histogram 3: A scatterplot 4: A two-way table 5: Side-by-side boxplots,Side-by-side boxplots,
_u2_summarizing_data,_m2_examining_relationships,Which of the tables is the appropriate table of conditional percentages to discover if the region where one lives affects whether or not one has health insurance?,0: 1: Table A 2: Table B 3: Table C,Table A
_u2_summarizing_data,_m2_examining_relationships,A 2009 study analyzed data from the National Longitudinal Study of Adolescent Health. Participants were followed into adulthood. Each study participant was categorized as to whether they were obese (BMI >30) or not and whether they were dating; cohabiting; or married. The table below summarizes the results.What percentage of those who were married were obese? (Round your answer to 1 decimal place.),0: 1: 34.7% (147/424) 2: 44.4% (147/331) 3: 32.8% (424/1293) 4: 25.6% (331/1293),34.7% (147/424)
_u2_summarizing_data,_m2_examining_relationships,A local ice cream shop kept track of the number of cans of cold soda it sold each day; and the temperature that day; for 2 months during the summer. The data are displayed in the scatterplot below: Which of the following is the best description of the relationship between X and Y as it appears in the scatterplot?,0: 1: Positive linear relationship with outlier(s) 2: Positive linear relationship with no outlier(s) 3: Positive nonlinear relationship with outlier(s) 4: Negative linear relationship with no outlier(s) 5: Negative nonlinear relationship with outlier(s) 6: Negative nonlinear relationship with no outlier(s),Positive linear relationship with outlier(s)
_u2_summarizing_data,_m2_examining_relationships,The following scatterplot shows the relationship between the amount of money spent (budget) and the amount of money earned (gross) for the 13 Hollywood movies with the highest profit. Which of the following best describes the relationship between X(budget) and Y(gross) as it appears in the scatterplot?,0: 1: Negative linear relationship 2: Positive linear relationship 3: Positive nonlinear relationship 4: Negative nonlinear relationship,Positive nonlinear relationship,
_u2_summarizing_data,_m2_examining_relationships,A local city council’s study found that the correlation between number of liquor stores in a neighborhood and neighborhood crime rates across all city neighborhoods was r = 0.88.Which one of the following statements is true?,0: 1: There is a pretty strong positive linear relationship between number of liquor stores and crime rates. 2: Closing liquor stores in a neighborhood will help to reduce the crime rate of that neighborhood. 3: Population is a possible lurking variable in this scenario; since areas that are more densely populated are more likely to have higher crime rates. 4: As the number of liquor stores increase the crime rate will increase in that neighborhood.,Population is a possible lurking variable in this scenario; since areas that are more densely populated are more likely to have higher crime rates.,
_u2_summarizing_data,_m2_examining_relationships,A correlation of r = 0.85 is found between weekly sales of firewood and cough drops over a 1-year period. Which of the following is a correct interpretation of this correlation value?,0: 1: There is a pretty strong positive linear relationship between sales of firewood and cough drops. 2: Fire must be the cause of coughing. 3: Temperature is a possible lurking variable that is behind this relationship.,Temperature is a possible lurking variable that is behind this relationship.,
_u3_producing_data,_m1_sampling,When conducting a survey; which of the following is the most important reason to use a random,0: 1: To get a significant result 2: To avoid bias and to get a representative sample 3: So that we can make causal conclusions 4: To ensure truthful answers to the survey's questions,To avoid bias and to get a representative sample,
_u3_producing_data,_m1_sampling,In order to obtain a sample of undergraduate students in the United States; a simple random sample of 10 states is selected. From each of the selected states; 10 colleges or universities are chosen at random. Finally; from each of these 100 colleges or universities; a simple random sample of 20 undergraduate students is selected. Thus; the final sample consists of 2;000 undergraduates. This is an example of which type of sampling strategy?,0: 1: Simple random sampling 2: Stratified sampling 3: Multistage sampling 4: Convenience sampling,Multistage sampling,
_u3_producing_data,_m1_sampling,The faculty senate at a large university wanted to know what proportion of the students thought foreign language classes should be required for everyone. The statistics department offered to cooperate in conducting a survey; and a simple random sample of 500 students was selected from all the students enrolled in statistics classes. A survey form was sent by email to these 500 students. In this case; which of the following is the population of interest?,0: 1: All students at the university 2: All students enrolled in a statistics class 3: The 500 students who got the email survey 4: The students who responded to the email survey 5: All students who think that foreign language classes should be required for everyone,All students at the university
_u3_producing_data,_m1_sampling,The faculty senate at a large university wanted to know what proportion of the students thought foreign language classes should be required for everyone. The statistics department offered to cooperate in conducting a survey; and a simple random sample of 500 students was selected from all the students enrolled in statistics classes. A survey form was sent by email to these 500 students. Which of the following is the appropriate sampling frame in this scenario?,0: 1: All students at the university 2: All students enrolled in a statistics class 3: The 500 students who got the email survey 4: The students who responded to the email survey 5: All students who think that foreign language classes should be required for everyone,All students enrolled in a statistics class,
_u3_producing_data,_m1_sampling,The faculty senate at a large university wanted to know what proportion of the students thought foreign language classes should be required for everyone. The statistics department offered to cooperate in conducting a survey; and a simple random sample of 500 students was selected from all the students enrolled in statistics classes. A survey form was sent by email to these 500 students. True or false? Even though the sample is random; it is not representative of the population of interest.,0: 1: True 2: False,False,
_u3_producing_data,_m1_sampling,Ross TimesThis is an example of what type of sample?,0: 1: A voluntary response sample 2: A multistage sample 3: A simple random sample 4: A convenience sample,A voluntary response sample
_u3_producing_data,_m1_sampling,Which of the following is an example of stratified sampling?,0: 1: A sample of 351 people called a radio show to express their opinions about the verdict in a murder trial. 2: In order to assess students' satisfaction with the food establishment on campus; the first 50 students who came out of the student center were interviewed. 3: A poll asked a random sample of 1;112 adults whether they believe that the use of marijuana for medical reasons should be legalized. 4: A health educator wanted to study the sleeping habits of the undergraduate students in her university. For her study; the researcher chose a simple random sample of size 150 from each of the classes (150 freshmen; 150 sophomores; 150 juniors; and 150 seniors) for a total of 600 sampled students. 5: The human resources department of a large bank wanted to assess the job satisfaction of the bank's workers. The department chose four of the bank's branches at random and used all of the workers in those four branches as the subjects for the study.,A health educator wanted to study the sleeping habits of the undergraduate students in her university. For her study; the researcher chose a simple random sample of size 150 from each of the classes (150 freshmen; 150 sophomores; 150 juniors; and 150 seniors) for a total of 600 sampled students.,
_u3_producing_data,_m1_sampling,The faculty senate at a large university wanted to know what proportion of the students thought foreign language classes should be required for everyone. The statistics department offered to cooperate in conducting a survey; and a simple random sample of 500 students was selected from all the students enrolled in statistics classes. A survey form was sent by email to these 500 students. True or false? Since the sample is random; it is representative of the population of interest.,0: 1: True 2: False,False,
_u3_producing_data,_m1_sampling,The city council hired three college interns to measure public support for a large parks and recreation initiative in their city. The interns mailed surveys to 500 randomly selected participants in the current public recreation program. They received 150 responses.True or false? Even though the sample is random; it is not,0: 1: True 2: False,True
_u3_producing_data,_m1_sampling,The faculty senate at a large university wanted to know what proportion of the students thought foreign language classes should be required for everyone. The statistics department offered to cooperate in conducting a survey; and a simple random sample of 500 students was selected from all the students enrolled in statistics classes. A survey form was sent by email to these 500 students. In this case; which of the following is the population of interest?,0: 1: All students at the university 2: All students enrolled in a statistics class 3: The 500 students who got the email survey 4: The students who responded to the email survey 5: All students who think that foreign language classes should be required for everyone,All students at the university
_u3_producing_data,_m1_sampling,The faculty senate at a large university wanted to know what proportion of the students thought foreign language classes should be required for everyone. The statistics department offered to cooperate in conducting a survey; and a simple random sample of 500 students was selected from all the students enrolled in statistics classes. A survey form was sent by email to these 500 students. Which of the following is the appropriate sampling frame in this scenario?,0: 1: All students at the university 2: All students enrolled in a statistics class 3: The 500 students who got the email survey 4: The students who responded to the email survey 5: All students who think that foreign language classes should be required for everyone,All students enrolled in a statistics class,
_u3_producing_data,_m1_sampling,The city council hired three college interns to measure public support for a large parks and recreation initiative in their city. The interns mailed surveys to 500 randomly selected participants in the current public recreation program. They received 150 responses.In this case; which of the following is the population of interest?,0: 1: All members of the community 2: All participants in the city’s recreation program 3: The 500 people who got the survey 4: The 150 people who responded 5: The participants who support the initiative,All members of the community
_u3_producing_data,_m1_sampling,The city council hired three college interns to measure public support for a large parks and recreation initiative in their city. The interns mailed surveys to 500 randomly selected participants in the current public recreation program. They received 150 responses.Which of the following is the appropriate sampling frame in this scenario?,0: 1: All members of the community 2: All participants in the city’s recreation program 3: The 500 people who got the survey 4: The 150 people that responded 5: The participants that support the initiative,All participants in the city’s recreation program,
_u3_producing_data,_m1_sampling,Ross TimesThis is an example of what type of sample?,0: 1: A voluntary response sample 2: A multistage sample 3: A simple random sample 4: A convenience sample,A voluntary response sample
_u3_producing_data,_m1_sampling,Talkshow host “Bull” Loney asked listeners of his to call in to give their opinion on a topic that he had just spent most of his program ranting about. The station got 384 calls.This is an example of what type of sample?,0: 1: A voluntary response sample 2: A multistage sample 3: A simple random sample 4: A convenience sample,A voluntary response sample
_u3_producing_data,_m1_sampling,In order to obtain a sample of undergraduate students in the United States; a simple random sample of 10 states is selected. From each of the selected states; 10 colleges or universities are chosen at random. Finally; from each of these 100 colleges or universities; a simple random sample of 20 undergraduate students is selected. Thus; the final sample consists of 2;000 undergraduates. This is an example of which type of sampling strategy?,0: 1: Simple random sampling 2: Stratified sampling 3: Multistage sampling 4: Convenience sampling,Multistage sampling,
_u3_producing_data,_m1_sampling,Which of the following is an example of stratified sampling?,0: 1: A sample of 351 people called a radio show to express their opinions about the verdict in a murder trial. 2: In order to assess students' satisfaction with the food establishment on campus; the first 50 students who came out of the student center were interviewed. 3: A poll asked a random sample of 1;112 adults whether they believe that the use of marijuana for medical reasons should be legalized. 4: A health educator wanted to study the sleeping habits of the undergraduate students in her university. For her study; the researcher chose a simple random sample of size 150 from each of the classes (150 freshmen; 150 sophomores; 150 juniors; and 150 seniors) for a total of 600 sampled students. 5: The human resources department of a large bank wanted to assess the job satisfaction of the bank's workers. The department chose four of the bank's branches at random and used all of the workers in those four branches as the subjects for the study.,A health educator wanted to study the sleeping habits of the undergraduate students in her university. For her study; the researcher chose a simple random sample of size 150 from each of the classes (150 freshmen; 150 sophomores; 150 juniors; and 150 seniors) for a total of 600 sampled students.,
_u3_producing_data,_m1_sampling,In order to get people’s opinions about a particular Supreme Court decision a reporter interviewed 30 people who have gathered outside the courthouse waiting for the announcement. The reporter makes sure to question people who have signs expressing a variety of positions on the issue.This is an example of which type of sampling strategy?,0: 1: Simple random sampling 2: Stratified sampling 3: Multistage sampling 4: Convenience sampling,Convenience sampling,
_u3_producing_data,_m1_sampling,Which of the following is an example of stratified sampling?,0: 1: In order to assess public attitudes on good nutrition the the first 40 people to leave a large grocery store were interviewed. 2: A sample of 37 people who came to speak before the city council on the proposed water conservation plan were surveyed. 3: Proponents of a local ballot measure conduct a survey of the city by randomly selecting 100 potential voters from each of its 18 zip codes. 4: The human resources department of a large retail chain wanted to assess the job satisfaction of the retail workers. The department chose 25 of the company's stores at random; and used all of the workers in those 25 branches as the subjects for the study. 5: A poll asked a random sample of 1;327 adults whether they supported stronger gun control measures.,Proponents of a local ballot measure conduct a survey of the city by randomly selecting 100 potential voters from each of its 18 zip codes.,
_u3_producing_data,_m1_sampling,When conducting a survey; which of the following is the most important reason to use a random,0: To get a significant result 1: To avoid bias and to get a representative sample 2: So that we can make causal conclusions 3: To ensure truthful answers to the survey's questions,So that we can make causal conclusions,
_u3_producing_data,_m1_sampling,When conducting a survey; which of the following is the most importantvolunteer,0: You might not get a significant result. 1: To ensure truthful answers to the survey's questions. 2: Your conclusions could not be reliably generalized to a larger population. 3: In order to get stronger opinions expressed.,In order to get stronger opinions expressed.,
_u3_producing_data,_m2_design,In a study; which of the following is the most important,0: 1: To ensure that each subject in the trial receives the best possible treatment. 2: To guarantee that approximately the same number of subjects is assigned to each treatment group. 3: To protect the experimenters from legal action in the event that the experiment goes drastically awry. 4: To ensure that the different treatment groups are as similar as possible in every way 5: except 6: To guarantee that the results of the experiment can never be duplicated.,To ensure that the different treatment groups are as similar as possible in every way,
_u3_producing_data,_m2_design,It is known that; in the United States; well-educated people are less likely to smoke. But what about other nations; where there may be different cultures and/or attitudes toward smoking? In a 1998 study of the relationship between education and smoking in France; a random sample of 334 French men was classified according to their education level (elementary; high-school; or university) and their smoking habits (smoker or nonsmoker).Which of the following statements about this study is correct?,0: 1: This study is an experiment; since each subject was classified into one of the six possible combinations of education level and smoking habits. 2: This study is an experiment; since it was based on a random sample. 3: This study is an observational study; since researchers did not assign the men to be smokers or non-smokers; or to one of the education levels. 4: This study is a combination of both an experiment and an observational study.,This study is an observational study; since researchers did not assign the men to be smokers or non-smokers; or to one of the education levels.,
_u3_producing_data,_m2_design,In an experiment to see if aspirin reduces the chance of having a heart attack; which of the following would be a placebo?,0: 1: The place where the subjects go when they have a heart attack. 2: A dummy pill that looks like aspirin but has no active ingredients. 3: A procedure for deciding who gets the aspirin treatment. 4: The sampling method. 5: The randomization procedure.,A dummy pill that looks like aspirin but has no active ingredients.,
_u3_producing_data,_m2_design,Which of the following is the main advantage of experiments over observational studies?,0: 1: A well-designed experiment can give good evidence that the treatment actually causes the response. 2: An experiment can compare two or more groups. 3: An experiment is typically cheaper. 4: An experiment is typically shorter. 5: We can include more than one explanatory variable in an experiment.,A well-designed experiment can give good evidence that the treatment actually causes the response.
_u3_producing_data,_m2_design,Students in a large statistics class were randomly divided into two groups. The first group took the midterm exam with soft music playing in the background; and the second group took the exam with no music playing. After the exam was completed; a researcher compared deidentified exam scores of the two groups. Which of the following is the reason this experiment was not,0: 1: The sample sizes in both groups was large. 2: Researchers looked at exam scores for the two groups. 3: The students knew whether or not music was playing while they were taking the exam. 4: Some of the students may not have studied for the exam. 5: Students were randomized into the two groups.,The students knew whether or not music was playing while they were taking the exam.,
_u3_producing_data,_m2_design,Research Question: A randomized; controlled experiment investigated this question using a random sample of 540 adult males as subjects. At the beginning of the study; researchers measured the blood pressure of all the subjects. Each subject was given a month's supply of either Drug A; Drug B; or a placebo; then was assigned to be on either a low-fat diet or a low-salt diet for that month-long period. At the end of the month; the researchers measured the blood pressure of each subject again; and compared the two blood pressure readings. How many different groups are there altogether in this study?,0: 1: 2 2: 3 3: 4 4: 5 5: 6,6,
_u3_producing_data,_m2_design,A simple random sample of 1;110 adult Americans is selected; and each person is asked the following question: In light of the huge national deficit; should the government at this time spend additional money to establish a national system of health insurance?Only 39% of respondents answered yes. Which of the following is an appropriate conclusion about the results of this summary?,0: 1: They are reasonably accurate because the study used a large simple random sample. 2: They probably overstate the percentage of people who favor a system of national health insurance because of the question’s wording. 3: They probably understate the percentage of people who favor a system of national health insurance because of the question’s wording. 4: They are inaccurate because of voluntary response. 5: They are inaccurate because of convenience sampling.,They probably understate the percentage of people who favor a system of national health insurance because of the question’s wording.,
_u3_producing_data,_m2_design,A simple random sample of 1;240 adult Americans is selected; and each person is asked the following question: In light of candidate Jones’s alleged criminal activity do you believe he should withdraw from the race?67% of those surveyed agreed that he should withdraw. Which of the following is an appropriate conclusion about the results?,0: 1: They are reasonably accurate because the study used a large simple random sample. 2: They probably overstate the percentage of people who favor his withdrawal because of the question’s wording. 3: They probably understate the percentage of people who favor his withdrawal because of the question’s wording. 4: They are inaccurate because of voluntary response. 5: They are inaccurate because of convenience sampling.,They probably overstate the percentage of people who favor his withdrawal because of the question’s wording.,
_u3_producing_data,_m2_design,In a study conducted by Frantzen and colleagues from 2001 through 2004; researchers studied the consumption of ready-to-eat cereal (RTEC) with the body mass index (BMI) of 625 low-income minority fourth- to sixth-grade students living in San Antonio; Texas. (Students were randomly selected.) They measured students’ age; ethnicity; height; and weight and students were administered dietary interviews at the beginning of their fourth-grade year and the end of their fifth- and sixth-grade years. They found a “significant inverse relation between the BMI percentile and the frequency of RTEC consumption” and concluded that “children who frequently consumed RTEC had greater intakes of essential nutrients at baseline and significantly lower BMI over a 3-year period.” Is it safe for us to conclude that there is a causal relationship between regular consumption of RTEC and the drop in BMI? Frantzen; Lana B.; Trevino; Robert T.; Echon; Roger M.; Garcia-Dominic; Oralia; and DiMarco; Nancy; “Association between Frequency of Ready-to-Eat Cereal Consumption; Nutrient Intakes; and Body Mass Index in Fourth to Scith Grade Low-Income Minority Children.” Journal of the Academy of Nutrition and Dietetics,0: 1: Yes; because the students were randomly selected for the study. 2: Yes; because causality is indicated by the significant inverse relation. 3: No; because an inverse relation indicates that there is no causality. 4: No; because while the relationship is interesting; there is a possibility of lurking variables not studied by the authors. 5: No; because causality can be demonstrated only by investigating the entire population.,No; because while the relationship is interesting; there is a possibility of lurking variables not studied by the authors.,
_u3_producing_data,_m2_design,For their 1992 study; "The Effect of Country Music on Suicide" (published in Social ForcesIn their paper; the researchers explain the results by saying that "the themes found in country music fosterThe IndependentBased on this study; can we have confidence in causality between country music and suicide?,0: 1: Yes; as long as the communities were sampled randomly; and the number of communities (the sample size) was sufficiently large. 2: Yes; causality is indicated by the moderately strong correlation. 3: Yes; since different communities listened to different levels of country music; meaningful experimental comparisons can be made. 4: No; because the lack of assignment of communities to different levels of country music listening means there is a possibility of lurking variables. 5: No; causality can be demonstrated only by investigating the entire population.,No; because the lack of assignment of communities to different levels of country music listening means there is a possibility of lurking variables.,
_u3_producing_data,_m2_design,In order to determine the effect companion animals might have on the moods of elderly people living alone experimenters created six groups from a large population of single people over 70 years old. They had three groups: those without pets; those who owned a dog; and those who owned a cat. They randomly selected 50 men from each of those groups and 50 women from each of those groups for a total of 300 participants. Which of the following statements about this study is correct?,0: 1: This study is an experiment; since it was based on a random sample. 2: This study is an observational study; since researchers did not assign the subjects to a gender or pet ownership status. 3: This study is an experiment; since each subject was classified into one of the six possible combinations of pet ownership and gender. 4: This study is a combination of both an experiment and an observational study.,This study is an observational study; since researchers did not assign the subjects to a gender or pet ownership status.,
_u3_producing_data,_m2_design,Which one of the following is an advantage of an observational study when compared to an experimental study?,0: 1: The treatment can be controlled by the researchers. 2: The treatments studied may be unethical when used in experiments. 3: Lurking variables are not a problem. 4: Randomization is less important because researchers are observing things “as they happen.”,The treatments studied may be unethical when used in experiments.,
_u3_producing_data,_m2_design,It is known that; in the United States; well-educated people are less likely to smoke. But what about other nations; where there may be different cultures and/or attitudes toward smoking? In a 1998 study of the relationship between education and smoking in France; a random sample of 334 French men was classified according to their education level (elementary; high-school; or university) and their smoking habits (smoker or nonsmoker).Which of the following statements about this study is correct?,0: 1: This study is an experiment; since each subject was classified into one of the six possible combinations of education level and smoking habits. 2: This study is an experiment; since it was based on a random sample. 3: This study is an observational study; since researchers did not assign the men to be smokers or non-smokers; or to one of the education levels. 4: This study is a combination of both an experiment and an observational study.,This study is an observational study; since researchers did not assign the men to be smokers or non-smokers; or to one of the education levels.,
_u3_producing_data,_m2_design,Which of the following is the main advantage of experiments over observational studies?,0: 1: A well-designed experiment can give good evidence that the treatment actually causes the response. 2: An experiment can compare two or more groups. 3: An experiment is typically cheaper. 4: An experiment is typically shorter. 5: We can include more than one explanatory variable in an experiment.,A well-designed experiment can give good evidence that the treatment actually causes the response.
_u3_producing_data,_m2_design,In the coastal United States; there is an established correlation between ice cream sales and shark attacks. Which of the following might we conclude from this data?,0: 1: Eating ice cream may increase the likelihood of a shark attack. 2: Increases in shark attacks may increase ice cream sales. 3: This is an anomaly and there is no relationship between shark attacks and ice cream sales. 4: There may be a third variable that creates a link between ice cream sales and shark attacks.,There may be a third variable that creates a link between ice cream sales and shark attacks.,
_u3_producing_data,_m2_design,Suppose a study finds a positive correlation between the number of TV sets in the home of high school seniors and their admission rate into college. Which of the following might we conclude from this data?,0: 1: The increase in home TV sets improves the likelihood of college admission. 2: Better students tend to have a TV set available. 3: There may be a third variable that creates a link between the number of TVs in the home and college admission rate. 4: This is an anomaly and there is no relationship between TVs in the home and college admission rate.,There may be a third variable that creates a link between the number of TVs in the home and college admission rate.,
_u3_producing_data,_m2_design,Research Question: A randomized; controlled experiment investigated this question using a random sample of 540 adult males as subjects. At the beginning of the study; researchers measured the blood pressure of all the subjects. Each subject was given a month's supply of either Drug A; Drug B; or a placebo; then was assigned to be on either a low-fat diet or a low-salt diet for that month-long period. At the end of the month; the researchers measured the blood pressure of each subject again; and compared the two blood pressure readings. How many different groups are there altogether in this study?,0: 1: 2 2: 3 3: 4 4: 5 5: 6,6,
_u3_producing_data,_m2_design,Research Question: Planters were built that each contained 10 cherry tomato plants. Each planter was identical except that it received a different treatment of water and fertilizer than the other planters. Treatments consisted of a combination of one of four watering schedules and one of three fertilizer concentrations. The plants were tended according to these treatments; and after 65 days; the average number and weight of the tomatoes per plant were measured for each treatment group. How many different groups are there altogether in this study?,0: 1: 3 2: 4 3: 7 4: 12,12,
_u3_producing_data,_m2_design,In a 2003 study by Bertrand and Mullainathan to measure racial discrimination in the labor market; experimenters sent fictitious resumes to help-wanted ads in Boston and Chicago newspapers. To manipulate perception of race each resume was assigned either a very African American–sounding name or a very White sounding name. They then measured the response to the resumes. Which of the following is a correct statement about this study? Bertrand; M.; and Mullainathan; S. “Are Emily and Greg More Employable than Lakisha and Jamal?” Working Paper 9873; National Bureau of Economic Research,0: 1: It was a blind study because those who received the resumes did not know the treatment they received. 2: It was not a blind study because there was no placebo. 3: It was not a blind study because the experimenters knew where they were sending the resumes. 4: It was problematic because the subjects didn’t even know they were in an experiment.,It was a blind study because those who received the resumes did not know the treatment they received.
_u3_producing_data,_m2_design,In a recent study to establish the effectiveness of a new cancer drug; subjects were randomly divided into three groups. Group A got a known and effective cancer drug; group B got the new experimental compound; and group C got a combination of the two drugs. None of the individuals nor the nurses knew group assignments; and nurses administering the drugs did not know what drug was being administered to their patients. Which of the following is a correct statement about this study?,0: 1: It was a blind study because subjects did not know the treatment they were receiving. 2: It was not a blind study because there was no placebo. 3: It was a double-blind study because neither the subject nor the experimenter knew what the treatment for a patient was. 4: It was not a blind study because patients knew they were participating in a study.,It was a double-blind study because neither the subject nor the experimenter knew what the treatment for a patient was.,
_u3_producing_data,_m2_design,Which of the following best describes the method of randomized response?,0: 1: A sampling method 2: A method in which subjects answer the questions in a survey in a random order 3: A technique used to minimize the bias in the responses of subjects to sensitive questions 4: A method in which subjects answer each of the questions in a survey with a random guess,A technique used to minimize the bias in the responses of subjects to sensitive questions,
_u3_producing_data,_m2_design,When surveying subjects about sensitive or self-incriminating topics; what technique might be used to help ensure that individuals answer sensitive or self-incriminating questions honestly?,0: 1: Using simple; direct questions 2: Asking questions in random order 3: Asking technically complex questions 4: Using randomized response,Using randomized response,
_u4_probability,_m1_finding_probability,A family plans to have 3 children. For each birth; assume that the probability of a boy is the same as the probability of a girl. What is the probability that they will have at least one boy and at least one girl?,0: 1: 0.5 2: 0.125 3: 0.75 4: 0.875,0.75,
_u4_probability,_m1_finding_probability,A person in a casino decides to play blackjack until he wins a game; but he will not play more than 3 games. Let W denote a win and L denote a loss. What is the sample space for this random experiment?,0: 1: S = {WWW; WWL; WLW; ; WLL; LWW; LWL; LLW; LLL} 2: S = {W; LW; LLW} 3: S = {W; LW; LLW; LLL} 4: S = {W; WW; WWW} 5: S = {W; WL; WWL; WWW},S = {W; LW; LLW; LLL},
_u4_probability,_m1_finding_probability,A person in a casino decides to play 3 games of blackjack. Let W denote a win and L denote a loss. Define the event A as “the person wins at least one game of blackjack”. What are the possible outcomes for this event?,0: 1: {W; LW; LLW} 2: {W; WW; WWW} 3: {WWW; WWL; WLW; WLL; LWW; LWL; LLW; LLL} 4: {WWW; WWL; WLW; WLL; LWW; LWL; LLW} 5: {WWL; LWL; LLW},{WWW; WWL; WLW; WLL; LWW; LWL; LLW},
_u4_probability,_m1_finding_probability,Four students attempt to register online at the same time for an Introductory Statistics class that is full. Two are freshmen and two are sophomores. They are put on a wait list. Prior to the start of the semester; two enrolled students drop the course; so the professor decides to randomly select two of the four wait list students and gives them a seat in the class. What is the probability that both students selected are freshmen?,0: 1: ½ 2: ¼ 3: ⅙ 4: 1/12,⅙,
_u4_probability,_m1_finding_probability,A fair die is rolled 12 times. Consider the following four possible outcomes: (i) 5 2 6 3 2 1 4 1 6 5 3 4 (ii) 1 1 2 2 3 3 4 4 5 5 6 6 (iii) 6 6 6 6 6 6 6 6 6 6 6 6 (iv) 1 5 4 3 5 1 2 4 4 6 4 5Which of the following is the most likely outcome: i; ii; iii; iv?,0: 1: i; because because number of die outcomes (1; 2; 3; 4; 5; 6) is equal but in a random order. 2: ii; because because the number of die outcomes (1; 2; 3; 4; 5; 6) is equal. 3: iii; because the number 6 is just as likely as any other number on a die. 4: iv; because you won’t necessarily get the same number of of die outcomes (1; 2; 3; 4; 5; 6) with a fair die. 5: They are all equally likely.,iii; because the number 6 is just as likely as any other number on a die.,
_u4_probability,_m1_finding_probability,Let A and B be two disjointWhat is P(A and B)?,0: 1: 0 2: 0.12 3: 0.68 4: 0.80,0
_u4_probability,_m1_finding_probability,The following probabilities are based on data collected from U.S. adults during the National Health Interview Survey 2005–2007. Individuals are placed into a weight category based on weight; height; gender and age. UnderweightHealthy weightOverweight (not obese)Obese Probability0.0190.3770.350.254Based on this data; what is the probability that a randomly selected U.S. adult weighs more than the healthy weight range?,0: 1: 0.0889 2: 0.35 3: 0.254 4: 0.604,0.604,
_u4_probability,_m1_finding_probability,In the population; 8% of males have had a kidney stone. Suppose a medical researcher randomly selects two males from a large population.Let A represent the event "the first male has had a kidney stone."Let B represent the event "the second male has had a kidney stone."True or false? A and B are independent events.,0: 1: True 2: False,False,
_u4_probability,_m1_finding_probability,According to the information that comes with a certain prescription drug; when taking this drug; there is a 20% chance of experiencing nausea (N) and a 50% chance of experiencing decreased sexual drive (D). The information also states that there is a 15% chance of experiencing both side effects. What is the probability of experiencing nausea or,0: 1: 0.10 2: 0.40 3: 0.55 4: 0.70 5: 0.85,0.55,
_u4_probability,_m1_finding_probability,According to the information that comes with a certain prescription drug; when taking this drug; there is a 20% chance of experiencing nausea (N) and a 50% chance of experiencing decreased sexual drive (D). The information also states that there is a 15% chance of experiencing both side effects. What is the probability of experiencing only nausea?,0: 1: 0.05 2: 0.10 3: 0.20 4: 0.35,0.05
_u4_probability,_m1_finding_probability,According to the information that comes with a certain prescription drug; when taking this drug; there is a 20% chance of experiencing nausea (N) and a 50% chance of experiencing decreased sexual drive (D). The information also states that there is a 15% chance of experiencing both side effects. What is the probability of experiencing neither of the side effects?,0: 1: 0.10 2: 0.40 3: 0.45 4: 0.70 5: 0.85,0.45,
_u4_probability,_m1_finding_probability,For safety reasons; four different alarm systems were installed in the vault containing the safety deposit boxes at a Beverly Hills bank. Each of the four systems detects theft with a probability of 0.99 independently What is the probability that when a theft occurs; all four,0: 1: (0.99) 2: 4 3: (0.99) * 4 4: (0.01) 5: 4 6: 4*(0.01)*(0.99) 7: 3 8: 4*(0.99)*(0.01) 9: 3,(0.99)
_u4_probability,_m1_finding_probability,For safety reasons; four different alarm systems were installed in the vault containing the safety deposit boxes at a Beverly Hills bank. Each of the four systems detects theft with a probability of 0.99 independentlyThe bank; obviously; is interested in the probability that when a theft occurs; at least oneWhat is the probability that when a theft occurs; at least one of the four systems will detect it?,0: 1: (.99) 2: 4 3: (.01) 4: 4 5: 1- (.99) 6: 4 7: 1- (.01) 8: 4,4,
_u4_probability,_m1_finding_probability,In a liberal arts college with about 10;000 students; 40% are males. If two students from this college are selected at random; what is the probability that they are both males?,0: 1: 0.96 2: 0.52 3: 0.48 4: 0.36 5: 0.16,0.52,
_u4_probability,_m1_finding_probability,In a liberal arts college with about 10;000 students; 40% are males. If two students from this college are selected at random; what is the probability that they are of the same gender?,0: 1: 0.96 2: 0.52 3: 0.48 4: 0.36 5: 0.16,0.52,
_u4_probability,_m1_finding_probability,In the population; 8% of males have had a kidney stone. Suppose a medical researcher randomly selects two males from a large population.Let A represent the event "the first male has had a kidney stone."Let B represent the event "the second male has had a kidney stone."True or false? A and B are independent events.,0: 1: True 2: False,True
_u4_probability,_m1_finding_probability,In 2012; researchers working with a very large population of health records found that 9.3% of all Americans had diabetes (source: National Diabetes Statistics Report; 2014). Suppose a medical researcher randomly selects two individuals from a large population.Let A represent the event “the first individual has diabetes.”Let B represent the event “the second individual has diabetes.”True or false? A and B are independent events.,0: 1: True 2: False,True
